sample,fastq_1,fastq_2,sample_name,species
H7Y2CDSXF_1_8bp-UDP0041,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0041_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0041_2.fastq.gz,BB5609,Axis axis
H7Y2CDSXF_1_8bp-UDP0042,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0042_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0042_2.fastq.gz,BB5610,Tyto alba
H7Y2CDSXF_1_8bp-UDP0043,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0043_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0043_2.fastq.gz,BB5611,Chauna torquata
H7Y2CDSXF_1_8bp-UDP0045,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0045_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0045_2.fastq.gz,BB5612,Aratinga solstitialis
H7Y2CDSXF_1_8bp-UDP0046,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0046_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0046_2.fastq.gz,BB5613,Macaca sylvanus
H7Y2CDSXF_1_8bp-UDP0047,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0047_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0047_2.fastq.gz,BB5614,Crocodylus rhombifer
H7Y2CDSXF_1_8bp-UDP0048,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0048_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0048_2.fastq.gz,BB5615,Nycticorax nycticorax
H7Y2CDSXF_1_8bp-UDP0050,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0050_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0050_2.fastq.gz,BB5616,Papio cynocephalus
H7Y2CDSXF_1_8bp-UDP0051,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0051_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0051_2.fastq.gz,BB5617,Muntiacus reevesi
H7Y2CDSXF_1_8bp-UDP0053,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0053_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_1_8bp-UDP0053_2.fastq.gz,BB5618,Graptemys pseudogeographica
